gen,block,line,level,disp,sex,measurement
4,2,11,low,0,f,15
4,2,11,low,0,m,15
4,2,12,high,3,f,17
4,2,12,high,3,m,13
4,2,12,low,0,f,16
4,2,12,low,0,m,14
4,2,13,high,3,f,16
4,2,13,high,3,m,14
4,2,13,low,0,f,22
4,2,13,low,0,m,8
4,2,14,high,3,f,18
4,2,14,high,3,m,12
4,2,14,low,0,f,15
4,2,14,low,0,m,15
4,2,15,high,3,f,16
4,2,15,high,3,m,14
4,2,15,low,0,f,18
4,2,15,low,0,m,12
4,2,16,high,3,f,15
4,2,16,high,3,m,12
4,2,16,low,0,f,10
4,2,16,low,0,m,20
4,2,9,high,0,f,13
4,2,9,high,0,m,11
4,2,9,high,1,f,21
4,2,9,high,1,m,20
4,2,9,low,2,f,14
4,2,9,low,2,m,8
4,2,9,low,3,f,2
4,2,9,low,3,m,0
4,2,10,high,0,f,9
4,2,10,high,0,m,9
4,2,10,high,1,f,21
4,2,10,high,1,m,2
4,2,10,low,2,f,8
4,2,10,low,2,m,10
4,2,10,low,3,f,0
4,2,10,low,3,m,0
4,2,11,high,0,f,24
4,2,11,high,0,m,17
4,2,11,high,1,f,20
4,2,11,high,1,m,22
4,2,11,low,2,f,2
4,2,11,low,2,m,4
4,2,11,low,3,f,0
4,2,11,low,3,m,0
4,2,12,high,0,f,13
4,2,12,high,0,m,16
4,2,12,high,1,f,31
4,2,12,high,1,m,22
4,2,12,low,2,f,23
4,2,12,low,2,m,11
4,2,12,low,3,f,6
4,2,12,low,3,m,4
4,2,13,high,0,f,18
4,2,13,high,0,m,15
4,2,13,high,1,f,27
4,2,13,high,1,m,26
4,2,13,low,2,f,4
4,2,13,low,2,m,4
4,2,13,low,3,f,0
4,2,13,low,3,m,0
4,2,14,high,0,f,20
4,2,14,high,0,m,8
4,2,14,high,1,f,25
4,2,14,high,1,m,14
4,2,14,low,2,f,5
4,2,14,low,2,m,1
4,2,14,low,3,f,0
4,2,14,low,3,m,0
4,2,15,high,0,f,9
4,2,15,high,0,m,3
4,2,15,high,1,f,27
4,2,15,high,1,m,16
4,2,15,low,2,f,10
4,2,15,low,2,m,15
4,2,15,low,3,f,0
4,2,15,low,3,m,0
4,2,16,high,0,f,10
4,2,16,high,0,m,5
4,2,16,high,1,f,23
4,2,16,high,1,m,15
4,2,16,low,2,f,10
4,2,16,low,2,m,13
4,2,16,low,3,f,0
4,2,16,low,3,m,0
