gen,block,line,level,day,patch,no_dispersals,value
4,2,9,high,4,b,2,29
4,2,9,high,4,b,3,89
4,2,9,low,2,a,0,197
4,2,9,low,2,b,1,3
4,2,9,low,3,a,0,175
4,2,9,low,3,a,1,0
4,2,9,low,3,b,1,22
4,2,9,low,3,b,2,3
4,2,9,low,4,a,0,132
4,2,9,low,4,a,1,14
4,2,9,low,4,a,2,0
4,2,9,low,4,b,1,41
4,2,9,low,4,b,2,8
4,2,9,low,4,b,3,2
4,2,10,high,2,a,0,59
4,2,10,high,2,b,1,141
4,2,10,high,3,a,0,28
4,2,10,high,3,a,1,8
4,2,10,high,3,b,1,31
4,2,10,high,3,b,2,133
4,2,10,high,4,a,0,18
4,2,10,high,4,a,1,14
4,2,10,high,4,a,2,22
4,2,10,high,4,b,1,9
4,2,10,high,4,b,2,26
4,2,10,high,4,b,3,111
4,2,10,low,2,a,0,200
4,2,10,low,2,b,1,0
4,2,10,low,3,a,0,157
4,2,10,low,3,a,1,0
4,2,10,low,3,b,1,43
4,2,10,low,3,b,2,0
4,2,10,low,4,a,0,124
4,2,10,low,4,a,1,25
4,2,10,low,4,a,2,0
4,2,10,low,4,b,1,33
4,2,10,low,4,b,2,18
4,2,10,low,4,b,3,0
4,2,11,high,2,a,0,90
4,2,11,high,2,b,1,110
4,2,11,high,3,a,0,60
4,2,11,high,3,a,1,18
4,2,11,high,3,b,1,30
4,2,11,high,3,b,2,92
4,2,11,high,4,a,0,41
4,2,11,high,4,a,1,26
4,2,11,high,4,a,2,8
4,2,11,high,4,b,1,17
4,2,11,high,4,b,2,24
4,2,11,high,4,b,3,84
4,2,11,low,2,a,0,198
4,2,11,low,2,b,1,2
4,2,11,low,3,a,0,186
4,2,11,low,3,a,1,2
4,2,11,low,3,b,1,12
4,2,11,low,3,b,2,0
4,2,11,low,4,a,0,126
4,2,11,low,4,a,1,9
4,2,11,low,4,a,2,0
4,2,11,low,4,b,1,53
4,2,11,low,4,b,2,6
4,2,11,low,4,b,3,0
4,2,12,high,2,a,0,108
4,2,12,high,2,b,1,92
4,2,12,high,3,a,0,51
4,2,12,high,3,a,1,9
4,2,12,high,3,b,1,57
4,2,12,high,3,b,2,83
4,2,12,high,4,a,0,29
4,2,12,high,4,a,1,36
4,2,12,high,4,a,2,8
4,2,12,high,4,b,1,21
4,2,12,high,4,b,2,30
4,2,12,high,4,b,3,76
4,2,12,low,2,a,0,177
4,2,12,low,2,b,1,23
4,2,12,low,3,a,0,129
4,2,12,low,3,a,1,10
4,2,12,low,3,b,1,48
4,2,12,low,3,b,2,13
4,2,12,low,4,a,0,71
4,2,12,low,4,a,1,26
4,2,12,low,4,a,2,3
4,2,12,low,4,b,1,57
4,2,12,low,4,b,2,31
4,2,12,low,4,b,3,10
4,2,13,high,2,a,0,89
4,2,13,high,2,b,1,111
4,2,13,high,3,a,0,47
4,2,13,high,3,a,1,29
4,2,13,high,3,b,1,42
4,2,13,high,3,b,2,82
4,2,13,high,4,a,0,33
4,2,13,high,4,a,1,37
4,2,13,high,4,a,2,16
4,2,13,high,4,b,1,17
4,2,13,high,4,b,2,32
4,2,13,high,4,b,3,64
4,2,13,low,2,a,0,200
4,2,13,low,2,b,1,0
4,2,13,low,3,a,0,177
4,2,13,low,3,a,1,0
4,2,13,low,3,b,1,23
4,2,13,low,3,b,2,0
4,2,13,low,4,a,0,129
4,2,13,low,4,a,1,15
4,2,13,low,4,a,2,0
4,2,13,low,4,b,1,48
4,2,13,low,4,b,2,8
4,2,13,low,4,b,3,0
4,2,14,high,2,a,0,66
4,2,14,high,2,b,1,134
4,2,14,high,3,a,0,36
4,2,14,high,3,a,1,20
4,2,14,high,3,b,1,30
4,2,14,high,3,b,2,114
4,2,14,high,4,a,0,28
4,2,14,high,4,a,1,31
4,2,14,high,4,a,2,21
4,2,14,high,4,b,1,8
4,2,14,high,4,b,2,18
4,2,14,high,4,b,3,93
4,2,14,low,2,a,0,200
4,2,14,low,2,b,1,0
4,2,14,low,3,a,0,192
4,2,14,low,3,a,1,0
4,2,14,low,3,b,1,8
4,2,14,low,3,b,2,0
4,2,14,low,4,a,0,129
4,2,14,low,4,a,1,2
4,2,14,low,4,a,2,0
4,2,14,low,4,b,1,63
4,2,14,low,4,b,2,6
4,2,14,low,4,b,3,0
4,2,15,high,2,a,0,64
4,2,15,high,2,b,1,136
4,2,15,high,3,a,0,17
4,2,15,high,3,a,1,18
4,2,15,high,3,b,1,47
4,2,15,high,3,b,2,118
4,2,15,high,4,a,0,12
4,2,15,high,4,a,1,41
4,2,15,high,4,a,2,23
4,2,15,high,4,b,1,2
4,2,15,high,4,b,2,27
4,2,15,high,4,b,3,95
4,2,15,low,2,a,0,200
4,2,15,low,2,b,1,0
4,2,15,low,3,a,0,152
4,2,15,low,3,a,1,0
4,2,15,low,3,b,1,48
4,2,15,low,3,b,2,0
4,2,15,low,4,a,0,106
4,2,15,low,4,a,1,23
4,2,15,low,4,a,2,0
4,2,15,low,4,b,1,45
4,2,15,low,4,b,2,25
4,2,15,low,4,b,3,0
4,2,16,high,2,a,0,74
4,2,16,high,2,b,1,126
4,2,16,high,3,a,0,29
4,2,16,high,3,a,1,11
4,2,16,high,3,b,1,45
4,2,16,high,3,b,2,115
4,2,16,high,4,a,0,15
4,2,16,high,4,a,1,24
4,2,16,high,4,a,2,26
4,2,16,high,4,b,1,14
4,2,16,high,4,b,2,31
4,2,16,high,4,b,3,90
4,2,16,low,2,a,0,200
4,2,16,low,2,b,1,0
4,2,16,low,3,a,0,165
4,2,16,low,3,a,1,0
4,2,16,low,3,b,1,35
4,2,16,low,3,b,2,0
4,2,16,low,4,a,0,102
4,2,16,low,4,a,1,11
4,2,16,low,4,a,2,0
4,2,16,low,4,b,1,62
4,2,16,low,4,b,2,24
4,2,16,low,4,b,3,0
