gen,block,line,level,day,patch,no_dispersals,value
1,1,7,low,4,a,2,6
1,1,7,low,4,b,1,48
1,1,7,low,4,b,2,55
1,1,7,low,4,b,3,33
1,1,8,high,2,a,0,104
1,1,8,high,2,b,1,96
1,1,8,high,3,a,0,30
1,1,8,high,3,a,1,9
1,1,8,high,3,b,1,68
1,1,8,high,3,b,2,93
1,1,8,high,4,a,0,9
1,1,8,high,4,a,1,24
1,1,8,high,4,a,2,12
1,1,8,high,4,b,1,14
1,1,8,high,4,b,2,55
1,1,8,high,4,b,3,86
1,1,8,low,2,a,0,173
1,1,8,low,2,b,1,27
1,1,8,low,3,a,0,73
1,1,8,low,3,a,1,0
1,1,8,low,3,b,1,100
1,1,8,low,3,b,2,27
1,1,8,low,4,a,0,34
1,1,8,low,4,a,1,23
1,1,8,low,4,a,2,2
1,1,8,low,4,b,1,40
1,1,8,low,4,b,2,76
1,1,8,low,4,b,3,24
1,2,9,high,2,a,0,120
1,2,9,high,2,b,1,80
1,2,9,high,3,a,0,41
1,2,9,high,3,a,1,9
1,2,9,high,3,b,1,79
1,2,9,high,3,b,2,71
1,2,9,high,4,a,0,24
1,2,9,high,4,a,1,31
1,2,9,high,4,a,2,6
1,2,9,high,4,b,1,15
1,2,9,high,4,b,2,59
1,2,9,high,4,b,3,64
1,2,9,low,2,a,0,179
1,2,9,low,2,b,1,21
1,2,9,low,3,a,0,157
1,2,9,low,3,a,1,9
1,2,9,low,3,b,1,22
1,2,9,low,3,b,2,12
1,2,9,low,4,a,0,53
1,2,9,low,4,a,1,4
1,2,9,low,4,a,2,0
1,2,9,low,4,b,1,105
1,2,9,low,4,b,2,25
1,2,9,low,4,b,3,13
1,2,10,high,2,a,0,137
1,2,10,high,2,b,1,63
1,2,10,high,3,a,0,45
1,2,10,high,3,a,1,3
1,2,10,high,3,b,1,92
1,2,10,high,3,b,2,60
1,2,10,high,4,a,0,21
1,2,10,high,4,a,1,24
1,2,10,high,4,a,2,0
1,2,10,high,4,b,1,22
1,2,10,high,4,b,2,69
1,2,10,high,4,b,3,62
1,2,10,low,2,a,0,173
1,2,10,low,2,b,1,27
1,2,10,low,3,a,0,115
1,2,10,low,3,a,1,3
1,2,10,low,3,b,1,59
1,2,10,low,3,b,2,23
1,2,10,low,4,a,0,48
